sku,visual_group_id,file_name,sha256,width,height,mime_type,source_page_url,source_image_url,match_score,approval_status,error
APL-APD-MAX-2024-ORG,,APL-APD-MAX-2024-ORG.jpg,de38ea901a039e06aaab9248874b31ad3b349582c26fc906de8624a29bb22ac9,1000,1000,image/jpeg,http://api.rocketniks.ru/api/products/apple-airpods-max-s-razmom-usb-type-c-oranzhevyy,http://api.rocketniks.ru/images/products/LARGE_Apple AirPods Max (6)-min.jpg,36,likely,
APL-APD-MAX-2026-BLU,,APL-APD-MAX-2026-BLU.jpg,633c332d8a4d3fa4d59400a81facaa073b446ccf40e405dc312479145cfd0bf2,1000,1000,image/jpeg,http://api.rocketniks.ru/api/products/apple-airpods-max-s-razmom-usb-type-c-siniy,http://api.rocketniks.ru/images/products/LARGE_Apple AirPods Max-min.jpg,36,likely,
APL-APD-MAX-2026-BLU,,APL-APD-MAX-2026-BLU-1.jpg,2b22ad29303db6f510097ebf9740550eb70884cfd2df4d071764d9d808d35516,1000,1000,image/jpeg,http://api.rocketniks.ru/api/products/apple-airpods-max-s-razmom-usb-type-c-siniy,http://api.rocketniks.ru/images/products/LARGE_Apple AirPods Max (1)-min.jpg,36,likely,
APL-APD-MAX-2026-MID,,APL-APD-MAX-2026-MID.jpg,bad4a5387533cd87e845f36751013595369a0b33c028c489dd8103fcd2d1798d,1000,1000,image/jpeg,http://api.rocketniks.ru/api/products/apple-airpods-max-s-razmom-usb-type-c-polunochnyy,http://api.rocketniks.ru/images/products/LARGE_Apple AirPods Max (5)-min.jpg,36,likely,
APL-APD-MAX-2026-ORG,,APL-APD-MAX-2026-ORG.jpg,de38ea901a039e06aaab9248874b31ad3b349582c26fc906de8624a29bb22ac9,1000,1000,image/jpeg,http://api.rocketniks.ru/api/products/apple-airpods-max-s-razmom-usb-type-c-oranzhevyy,http://api.rocketniks.ru/images/products/LARGE_Apple AirPods Max (6)-min.jpg,36,likely,
APL-APD-MAX-2026-PURPLE,,APL-APD-MAX-2026-PURPLE.jpg,931601ec51ab4a278736a75faa96c9973153b1c0a8330154a6b0a11872220fb8,1000,1000,image/jpeg,http://api.rocketniks.ru/api/products/apple-airpods-max-s-razmom-usb-type-c-fioletovyy,http://api.rocketniks.ru/images/products/LARGE_Apple AirPods Max (2)-min.jpg,36,likely,
APL-APD-MAX-2026-PURPLE,,APL-APD-MAX-2026-PURPLE-1.jpg,e02d3e59b378e0759d9a1ba92ddf2b28e83f9df47efa2bd6e35235c5f4278381,1000,1000,image/jpeg,http://api.rocketniks.ru/api/products/apple-airpods-max-s-razmom-usb-type-c-fioletovyy,http://api.rocketniks.ru/images/products/LARGE_Apple AirPods Max (3)-min.jpg,36,likely,
APL-APD-MAX-2026-STL,,APL-APD-MAX-2026-STL.jpg,105adfda70da85b4dffc8efa4b0550e508ccf9a4bada8d567c39533a5ba0ad7f,1000,1000,image/jpeg,http://api.rocketniks.ru/api/products/apple-airpods-max-s-razmom-usb-type-c-zvezdnyy-svet,http://api.rocketniks.ru/images/products/LARGE_Apple AirPods Max (4)-min.jpg,36,likely,
APL-APD-MAX-BLU-LIGHT,,APL-APD-MAX-BLU-LIGHT.jpg,633c332d8a4d3fa4d59400a81facaa073b446ccf40e405dc312479145cfd0bf2,1000,1000,image/jpeg,http://api.rocketniks.ru/api/products/apple-airpods-max-s-razmom-usb-type-c-siniy,http://api.rocketniks.ru/images/products/LARGE_Apple AirPods Max-min.jpg,36,likely,
APL-APD-MAX-BLU-LIGHT,,APL-APD-MAX-BLU-LIGHT-1.jpg,2b22ad29303db6f510097ebf9740550eb70884cfd2df4d071764d9d808d35516,1000,1000,image/jpeg,http://api.rocketniks.ru/api/products/apple-airpods-max-s-razmom-usb-type-c-siniy,http://api.rocketniks.ru/images/products/LARGE_Apple AirPods Max (1)-min.jpg,36,likely,
MW133,,MW133.png,7ced69392d000d966a854e614f8ece648e0745640cb17860e26ddbc071fe348f,1000,1000,image/png,http://api.rocketniks.ru/api/products/apple-macbook-air-13-m4-2025-16-512-polunochnyy,http://api.rocketniks.ru/images/products/LARGE_air_13_m4_3 1.png,90,exact,
MW133,,MW133-1.webp,5158730969d1206f9bd1ab47db271013c9db4b75f5e04ead3e9a6cd486b90470,1000,1000,image/webp,http://api.rocketniks.ru/api/products/apple-macbook-air-13-m4-2025-16-512-polunochnyy,http://api.rocketniks.ru/images/products/LARGE_5dbf773daa99a51dc8b2c10b3985dc64.webp,90,exact,
MW133,,MW133-2.webp,652cb4dd84b244fb28282126a4ff721dd000838befabaa31c12dd7ddd83f378b,1000,1000,image/webp,http://api.rocketniks.ru/api/products/apple-macbook-air-13-m4-2025-16-512-polunochnyy,http://api.rocketniks.ru/images/products/LARGE_33f8d680453cbd760b4e2601b12cfaf9.webp,90,exact,
MW133,,MW133-3.webp,8818a4d0d63334463d2dddf1430e1adb5ad23d55d1504fcba68fd472dd927b4c,1000,1000,image/webp,http://api.rocketniks.ru/api/products/apple-macbook-air-13-m4-2025-16-512-polunochnyy,http://api.rocketniks.ru/images/products/LARGE_aa323f7c3273e1cc56630c02415ba8b3.webp,90,exact,
MW133,,MW133-4.webp,093b67fb3551724cfd068679bc54f3e347c68428d1ef0d71dbc27d6c44167fe3,1000,1000,image/webp,http://api.rocketniks.ru/api/products/apple-macbook-air-13-m4-2025-16-512-polunochnyy,http://api.rocketniks.ru/images/products/LARGE_7fa7c6b21909569e80d28fdf681bdcea.webp,90,exact,
MW133,,MW133-5.webp,1e0f9979e44a768786eebb88dd36a4ba9716ebc1a1fd38904d3a886990479964,1000,1000,image/webp,http://api.rocketniks.ru/api/products/apple-macbook-air-13-m4-2025-16-512-polunochnyy,http://api.rocketniks.ru/images/products/LARGE_37be40ded599299fa8e96eab7f1e86fd.webp,90,exact,
MW133,,MW133-6.webp,da9116d509c5c3e1d2d86945912e391fdf6c9569e4207104b1f0d947513e9ce7,1000,1000,image/webp,http://api.rocketniks.ru/api/products/apple-macbook-air-13-m4-2025-16-512-polunochnyy,http://api.rocketniks.ru/images/products/LARGE_6520523e130d2cf5dc92d3336d5df1a9.webp,90,exact,
MW133,,MW133-7.webp,41f27dc4a39bc9ccd59e20bffc31c612dce11e1cdb2ffab47e990ef5d622b9de,1000,1000,image/webp,http://api.rocketniks.ru/api/products/apple-macbook-air-13-m4-2025-16-512-polunochnyy,http://api.rocketniks.ru/images/products/LARGE_c1162c5712c3fadfa19282fa7ae9a9a2.webp,90,exact,
MW133,,MW133-8.webp,9fb12fbc3f271f180b76064ff331243f5eacdc45e0ed05115982dcac2781c985,1000,1000,image/webp,http://api.rocketniks.ru/api/products/apple-macbook-air-13-m4-2025-16-512-polunochnyy,http://api.rocketniks.ru/images/products/LARGE_26de3e5848152eae1322cc93c21934d7.webp,90,exact,
MC6C4,,MC6C4.png,7ced69392d000d966a854e614f8ece648e0745640cb17860e26ddbc071fe348f,1000,1000,image/png,http://api.rocketniks.ru/api/products/apple-macbook-air-13-m4-2025-24-512-polunochnyy,http://api.rocketniks.ru/images/products/LARGE_air_13_m4_3 1.png,90,exact,
MC6C4,,MC6C4-1.webp,5158730969d1206f9bd1ab47db271013c9db4b75f5e04ead3e9a6cd486b90470,1000,1000,image/webp,http://api.rocketniks.ru/api/products/apple-macbook-air-13-m4-2025-24-512-polunochnyy,http://api.rocketniks.ru/images/products/LARGE_5dbf773daa99a51dc8b2c10b3985dc64.webp,90,exact,
MC6C4,,MC6C4-2.webp,652cb4dd84b244fb28282126a4ff721dd000838befabaa31c12dd7ddd83f378b,1000,1000,image/webp,http://api.rocketniks.ru/api/products/apple-macbook-air-13-m4-2025-24-512-polunochnyy,http://api.rocketniks.ru/images/products/LARGE_33f8d680453cbd760b4e2601b12cfaf9.webp,90,exact,
MC6C4,,MC6C4-3.webp,8818a4d0d63334463d2dddf1430e1adb5ad23d55d1504fcba68fd472dd927b4c,1000,1000,image/webp,http://api.rocketniks.ru/api/products/apple-macbook-air-13-m4-2025-24-512-polunochnyy,http://api.rocketniks.ru/images/products/LARGE_aa323f7c3273e1cc56630c02415ba8b3.webp,90,exact,
