sku,title,status
APL-APD-4-2024-2,Apple AirPods 4 (2024) с шумуоподавлением,rejected
MC6U4-US-IN,Apple MacBook Air 13 Sky Blue (M4 16GB 512GB) (US-IN),rejected
MC7C4,"Apple MacBook Air 15 Sky Blue (M4 16GB, 512GB) (US)",rejected
MJLW4,"Apple MacBook Pro 14 Black M5 Pro 15/16 24GB, 2TB (US)",rejected
MDE04,Apple MacBook Pro 14 M5 16/512 (2025) Black (US-IN),rejected
APL-IP17-256-SAGE-IN,"Apple iPhone 17 256 ГБ Sage (IN, SIM+eSIM)",rejected
APL-IP17-512-SAGE-IN,"Apple iPhone 17 512 ГБ Sage (IN, SIM+eSIM)",rejected
APL-IPAIR-512-BLU-JP,"Apple iPhone Air 512 ГБ Bluе (JP, eSIM)",rejected
DYS-HUSHJET-PURFIER-COMPACT-SP01-WHT-SLV-GB,Dyson HushJet Purfier Compact SP01 White Silver (GB),rejected
DYS-V12-SV46-SUBMARINE-YELLOW-NICKEL-EU,Dyson V12 SV46 Submarine Yellow Nickel (EU),rejected
DYS-V15-SV47-DETECT-SUBMARINE-YELLOW-NICKEL-EU,Dyson V15 SV47 Detect Submarine Yellow Nickel (EU),rejected
DYS-V15-SV47-DETECT-SUBMARINE-YELLOW-NICKEL-GB,Dyson V15 SV47 Detect Submarine Yellow/Nickel (GB),rejected
SONY-PS-5-DUALSENSE-CHARGINGSTATION,PlayStation 5 DualSense ChargingStation оригинал,not_found
SONY-PS-5-PORTAL-BLK,PlayStation 5 Portal Black,not_found
SONY-PS-5-PORTAL-WHT,PlayStation 5 Portal White,not_found
SONY-PS-5-PULSE-ELITE-BLK,PlayStation 5 Pulse Elite Black,not_found
SONY-PS-5-PULSE-ELITE-WHT,PlayStation 5 Pulse Elite White,not_found
SONY-PS-5-VR2,PlayStation 5 VR2,not_found
SONY-SONY-DUALSENSE-BLK,Sony DualSense Black,rejected
SONY-SONY-DUALSENSE-BLU,Sony DualSense Blue,rejected
SONY-SONY-DUALSENSE-EDGE-WHT,Sony DualSense Edge White,not_found
SONY-SONY-DUALSENSE-GALACTIC-PURPLE,Sony DualSense Galactic Purple,rejected
SONY-SONY-DUALSENSE-GRAY-CAMOUFLAGE,Sony DualSense Gray Camouflage,rejected
SONY-SONY-DUALSENSE-PS5-CHROME-INDIGO,Sony DualSense PS5 Chrome Indigo,rejected
SONY-SONY-DUALSENSE-PS5-CHROME-PEARL,Sony DualSense PS5 Chrome Pearl,rejected
SONY-SONY-DUALSENSE-PS5-CHROME-TEAL,Sony DualSense PS5 Chrome Teal,rejected
SONY-SONY-DUALSENSE-PS5-STERLING-SLV,Sony DualSense PS5 Sterling Silver,not_found
SONY-SONY-DUALSENSE-PNK,Sony DualSense Pink,rejected
SONY-SONY-DUALSENSE-RED,Sony DualSense Red,not_found
SONY-SONY-DUALSENSE-WHT,Sony DualSense White,not_found
SONY-VR2-HORIZON,VR2 с игрой Horizon,not_found
SONY-PS5-P,Дисковод PS5 Pro,rejected
SONY-PS-5-P-2-TB,PlayStation 5 Pro 2 TB,rejected
SONY-PS-5-SLIM-DISK-1-TB,PlayStation 5 Slim (DISK 1 TB) (JP-KW),rejected
SONY-PS-5-SLIM-DIGITAL-1TB,PlayStation 5 Slim Digital 1tb (JP),rejected
