sku,title,status,score,candidate,vendor_code,color,image_count,source_url
APL-APD-MAX-2024-ORG,Apple AirPods Max 2024 Orange,likely,36,Apple AirPods Max (с разъёмом USB Type-C)  оранжевый,MWW73-O,оранжевый,1,http://api.rocketniks.ru/api/products/apple-airpods-max-s-razmom-usb-type-c-oranzhevyy
APL-APD-MAX-2026-BLU,Apple AirPods Max 2026 Blue (US),likely,36,Apple AirPods Max (с разъёмом USB Type-C)  синий,MWW63-B,синий,2,http://api.rocketniks.ru/api/products/apple-airpods-max-s-razmom-usb-type-c-siniy
APL-APD-MAX-2026-MID,Apple AirPods Max 2026 Midnight (US),likely,36,Apple AirPods Max (с разъёмом USB Type-C)  полуночный,MWW43-P,полуночный,1,http://api.rocketniks.ru/api/products/apple-airpods-max-s-razmom-usb-type-c-polunochnyy
APL-APD-MAX-2026-ORG,Apple AirPods Max 2026 Orange (US),likely,36,Apple AirPods Max (с разъёмом USB Type-C)  оранжевый,MWW73-O,оранжевый,1,http://api.rocketniks.ru/api/products/apple-airpods-max-s-razmom-usb-type-c-oranzhevyy
APL-APD-MAX-2026-PURPLE,Apple AirPods Max 2026 Purple (US),likely,36,Apple AirPods Max (с разъёмом USB Type-C)  фиолетовый,MWW83-F,фиолетовый,2,http://api.rocketniks.ru/api/products/apple-airpods-max-s-razmom-usb-type-c-fioletovyy
APL-APD-MAX-2026-STL,Apple AirPods Max 2026 Starlight (US),likely,36,Apple AirPods Max (с разъёмом USB Type-C)  звездный свет,MWW53-B,звездный свет,1,http://api.rocketniks.ru/api/products/apple-airpods-max-s-razmom-usb-type-c-zvezdnyy-svet
APL-APD-MAX-BLU-LIGHT,Apple AirPods Max Blue Light,likely,36,Apple AirPods Max (с разъёмом USB Type-C)  синий,MWW63-B,синий,2,http://api.rocketniks.ru/api/products/apple-airpods-max-s-razmom-usb-type-c-siniy
MW133,Apple MacBook Air 13 Midnight (M4 16GB 512GB) (US-IN),exact,90,"Apple MacBook Air 13"" M4 (2025) Русская раскладка 16GB 512GB полуночный",MW133R,полуночный,9,http://api.rocketniks.ru/api/products/apple-macbook-air-13-m4-2025-16-512-polunochnyy
MC6C4,Apple MacBook Air 13 Midnight (M4 24GB 512GB) (US-IN),exact,90,"Apple MacBook Air 13"" M4 (2025) Русская раскладка 24GB 512GB полуночный",MC6C4R,полуночный,9,http://api.rocketniks.ru/api/products/apple-macbook-air-13-m4-2025-24-512-polunochnyy
MW0X3,Apple MacBook Air 13 Silver (M4 16GB 512GB) (US-IN),exact,90,"Apple MacBook Air 13"" M4 (2025) Русская раскладка 16GB 512GB серебристый",MW0X3R,серебристый,9,http://api.rocketniks.ru/api/products/apple-macbook-air-13-m4-2025-16-512-serebristyy
MC6U4,Apple MacBook Air 13 Sky Blue (M4 16/10/10/512GB) (US-IN),exact,85,"Apple MacBook Air 13"" M4 (2025) Русская раскладка 16GB 512GB небесно-голубой",MC6U4R,небесно-голубой,9,http://api.rocketniks.ru/api/products/apple-macbook-air-13-m4-2025-16-512-nebesno-goluboy
MC6V4,Apple MacBook Air 13 Sky Blue (M4 24GB 512G ) (US-IN),exact,85,"Apple MacBook Air 13"" M4 (2025) Русская раскладка 24GB 512GB небесно-голубой",MC6V4R,небесно-голубой,9,http://api.rocketniks.ru/api/products/apple-macbook-air-13-m4-2025-24-512-nebesno-goluboy
MW103,Apple MacBook Air 13 Starlight (M4 16GB 512GB) (US-IN),exact,90,"Apple MacBook Air 13"" M4 (2025) Русская раскладка 16GB 512GB сияющая звезда",MW103R,сияющая звезда,9,http://api.rocketniks.ru/api/products/apple-macbook-air-13-m4-2025-16-512-siyayuschaya-zvezda
MW1L3,Apple MacBook Air 15 Midnight (M4 16/256),exact,90,"Apple MacBook Air 15"" M4 (2025) Русская раскладка 16GB 256GB полуночный",MW1L3R,полуночный,9,http://api.rocketniks.ru/api/products/apple-macbook-air-15-m4-2025-16-256-polunochnyy
MDVK4,"Apple MacBook Air 15 Midnight (M5, 16GB, 1TB) (US)",exact,90,"Apple MacBook Air 15"" M5 2026 Русская раскладка 1024GB 16GB полуночный",MDVK4-,полуночный,4,http://api.rocketniks.ru/api/products/apple-macbook-air-15-m5-2026-russkaya-raskladka-1024-16-polunochnyy
MDVH4,"Apple MacBook Air 15 Midnight (M5, 16GB, 512GB) (US)",exact,90,"Apple MacBook Air 15"" M5 2026 Русская раскладка 512GB 16GB полуночный",MDVH4-,полуночный,4,http://api.rocketniks.ru/api/products/apple-macbook-air-15-m5-2026-russkaya-raskladka-512-16-polunochnyy
MDVA4,"Apple MacBook Air 15 Silver (M5, 16GB, 1TB) (US)",exact,90,"Apple MacBook Air 15"" M5 2026 Русская раскладка 1024GB 16GB серебристый",MDVA4-,серебристый,4,http://api.rocketniks.ru/api/products/apple-macbook-air-15-m5-2026-russkaya-raskladka-1024-16-serebristyy
MDV94,"Apple MacBook Air 15 Silver (M5, 16GB, 512GB) (US)",exact,90,"Apple MacBook Air 15"" M5 2026 Русская раскладка 512GB 16GB серебристый",MDV94-,серебристый,4,http://api.rocketniks.ru/api/products/apple-macbook-air-15-m5-2026-russkaya-raskladka-512-16-serebristyy
MDVT4,"Apple MacBook Air 15 Sky Blue (M5, 16GB, 1TB) (US)",exact,90,"Apple MacBook Air 15"" M5 2026 Русская раскладка 1024GB 16GB небесно-голубой",MDVT4-,небесно-голубой,4,http://api.rocketniks.ru/api/products/apple-macbook-air-15-m5-2026-russkaya-raskladka-1024-16-nebesno-goluboy
