sku,title,status,score,approval,candidate,vendor_code,color,image_count,source_url,matched,conflicts,soft_conflicts
APL-APD-4-2024-2,Apple AirPods 4 (2024) с шумуоподавлением,rejected,8,rejected,"Apple Macbook Pro 14.2"" M4 2024 Американская раскладка M4 Pro 14core 24GB 1024GB серебристый",MX2F3,серебристый,7,http://api.rocketniks.ru/api/products/apple-macbook-pro-14-2-m4-pro-14-yader-serebristyy-24-1024,model ['2024'] (33%),family airpods≠macbook pro,
APL-APD-MAX-2024-ORG,Apple AirPods Max 2024 Orange,likely,36,likely,Apple AirPods Max (с разъёмом USB Type-C)  оранжевый,MWW73-O,оранжевый,1,http://api.rocketniks.ru/api/products/apple-airpods-max-s-razmom-usb-type-c-oranzhevyy,"model ['airpods', 'max'] (67%) | color ['orange']",,
APL-APD-MAX-2026-BLU,Apple AirPods Max 2026 Blue (US),likely,36,likely,Apple AirPods Max (с разъёмом USB Type-C)  синий,MWW63-B,синий,2,http://api.rocketniks.ru/api/products/apple-airpods-max-s-razmom-usb-type-c-siniy,"model ['airpods', 'max'] (67%) | color ['blue']",,
APL-APD-MAX-2026-MID,Apple AirPods Max 2026 Midnight (US),likely,36,likely,Apple AirPods Max (с разъёмом USB Type-C)  полуночный,MWW43-P,полуночный,1,http://api.rocketniks.ru/api/products/apple-airpods-max-s-razmom-usb-type-c-polunochnyy,"model ['airpods', 'max'] (67%) | color ['midnight']",,
APL-APD-MAX-2026-ORG,Apple AirPods Max 2026 Orange (US),likely,36,likely,Apple AirPods Max (с разъёмом USB Type-C)  оранжевый,MWW73-O,оранжевый,1,http://api.rocketniks.ru/api/products/apple-airpods-max-s-razmom-usb-type-c-oranzhevyy,"model ['airpods', 'max'] (67%) | color ['orange']",,
APL-APD-MAX-2026-PURPLE,Apple AirPods Max 2026 Purple (US),likely,36,likely,Apple AirPods Max (с разъёмом USB Type-C)  фиолетовый,MWW83-F,фиолетовый,2,http://api.rocketniks.ru/api/products/apple-airpods-max-s-razmom-usb-type-c-fioletovyy,"model ['airpods', 'max'] (67%) | color ['purple']",,
APL-APD-MAX-2026-STL,Apple AirPods Max 2026 Starlight (US),likely,36,likely,Apple AirPods Max (с разъёмом USB Type-C)  звездный свет,MWW53-B,звездный свет,1,http://api.rocketniks.ru/api/products/apple-airpods-max-s-razmom-usb-type-c-zvezdnyy-svet,"model ['airpods', 'max'] (67%) | color ['starlight']",,
APL-APD-MAX-BLU-LIGHT,Apple AirPods Max Blue Light,likely,36,likely,Apple AirPods Max (с разъёмом USB Type-C)  синий,MWW63-B,синий,2,http://api.rocketniks.ru/api/products/apple-airpods-max-s-razmom-usb-type-c-siniy,"model ['airpods', 'max'] (67%) | color ['blue']",,
MW133,Apple MacBook Air 13 Midnight (M4 16GB 512GB) (US-IN),exact,90,exact,"Apple MacBook Air 13"" M4 (2025) Русская раскладка 16GB 512GB полуночный",MW133R,полуночный,9,http://api.rocketniks.ru/api/products/apple-macbook-air-13-m4-2025-16-512-polunochnyy,"article MW133≈MW133R | model ['13', 'air', 'm4', 'macbook'] (100%) | macbook-screen ['13'] | color ['midnight']",,
MC6C4,Apple MacBook Air 13 Midnight (M4 24GB 512GB) (US-IN),exact,90,exact,"Apple MacBook Air 13"" M4 (2025) Русская раскладка 24GB 512GB полуночный",MC6C4R,полуночный,9,http://api.rocketniks.ru/api/products/apple-macbook-air-13-m4-2025-24-512-polunochnyy,"article MC6C4≈MC6C4R | model ['13', 'air', 'm4', 'macbook'] (100%) | macbook-screen ['13'] | color ['midnight']",,
MW0X3,Apple MacBook Air 13 Silver (M4 16GB 512GB) (US-IN),exact,90,exact,"Apple MacBook Air 13"" M4 (2025) Русская раскладка 16GB 512GB серебристый",MW0X3R,серебристый,9,http://api.rocketniks.ru/api/products/apple-macbook-air-13-m4-2025-16-512-serebristyy,"article MW0X3≈MW0X3R | model ['13', 'air', 'm4', 'macbook'] (100%) | macbook-screen ['13'] | color ['silver']",,
MC6U4,Apple MacBook Air 13 Sky Blue (M4 16/10/10/512GB) (US-IN),exact,85,exact,"Apple MacBook Air 13"" M4 (2025) Русская раскладка 16GB 512GB небесно-голубой",MC6U4R,небесно-голубой,9,http://api.rocketniks.ru/api/products/apple-macbook-air-13-m4-2025-16-512-nebesno-goluboy,"article MC6U4≈MC6U4R | model ['13', 'air', 'm4', 'macbook'] (80%) | macbook-screen ['13'] | color ['sky blue']",,
MC6U4-US-IN,Apple MacBook Air 13 Sky Blue (M4 16GB 512GB) (US-IN),rejected,25,rejected,"Apple MacBook Air 13"" M4 (2025) Русская раскладка 16GB 512GB полуночный",MW133R,полуночный,9,http://api.rocketniks.ru/api/products/apple-macbook-air-13-m4-2025-16-512-polunochnyy,"model ['13', 'air', 'm4', 'macbook'] (100%) | macbook-screen ['13']",color ['sky blue']≠['midnight'],
MC6V4,Apple MacBook Air 13 Sky Blue (M4 24GB 512G ) (US-IN),exact,85,exact,"Apple MacBook Air 13"" M4 (2025) Русская раскладка 24GB 512GB небесно-голубой",MC6V4R,небесно-голубой,9,http://api.rocketniks.ru/api/products/apple-macbook-air-13-m4-2025-24-512-nebesno-goluboy,"article MC6V4≈MC6V4R | model ['13', 'air', 'm4', 'macbook'] (80%) | macbook-screen ['13'] | color ['sky blue']",,
MW103,Apple MacBook Air 13 Starlight (M4 16GB 512GB) (US-IN),exact,90,exact,"Apple MacBook Air 13"" M4 (2025) Русская раскладка 16GB 512GB сияющая звезда",MW103R,сияющая звезда,9,http://api.rocketniks.ru/api/products/apple-macbook-air-13-m4-2025-16-512-siyayuschaya-zvezda,"article MW103≈MW103R | model ['13', 'air', 'm4', 'macbook'] (100%) | macbook-screen ['13'] | color ['starlight']",,
