sku,title,score,candidate,image_count,conflicts,soft_conflicts,source_url
APL-APL-AW-SE-40-MID-2025-S-M,Apple Watch SE 40 Midnight (2025) S/M (US),27,Apple Watch SE 3 44мм M/L без e-sim полуночный/полуночный,5,,,http://api.rocketniks.ru/api/products/apple-watch-se-3-44-polunochnyypolunochnyy-ml-bez-e-sim
APL-APL-AW-SE-44-STL-2025-S-M,Apple Watch SE 44 Starlight (2025) S/M (US),27,Apple Watch SE 2 2024 44мм сияющая звезда,8,,,http://api.rocketniks.ru/api/products/apple-watch-se-2-siyayuschaya-zvezda-44
DYS-CLEAN-WASH-HYGIENE-WR03-A-KR,Dyson Clean+Wash Hygiene WR03-A (KR),10,Dyson G1 Wash  синий/черный,2,,,http://api.rocketniks.ru/api/products/dyson-g1-wash
DYS-V12-DETECT-SLIM-ABSOLUTE-SV46-YELL-NICK-GB,Dyson V12 Detect Slim Absolute SV46 (Yell/Nick) (GB),15,Dyson V12 Detect Slim Absolute серый/золотой,5,,,http://api.rocketniks.ru/api/products/dyson-v12-detect-slim-absolute-seryyzolotoy
DYS-V16-PISTON-ANIMAL-SV53-MATBLK-COPP-EU,Dyson V16 Piston Animal SV53 (MatBlack/Copp) (EU),14,Dyson V16 Piston Animal,3,,,http://api.rocketniks.ru/api/products/dyson-v16-piston-animal
DYS-V16S-PISTON-ANIMAL-SV53A-MATBLK-COPP-KR,Dyson V16S Piston Animal SV53A (MatBlack/Copp) + подставка (KR),9,Dyson V16 Piston Animal,3,,,http://api.rocketniks.ru/api/products/dyson-v16-piston-animal
DYS-HT01-APRICOT-TOPAZ-CASE-HK,Dyson HT01 Apricot Topaz (Case) (HK),12,Dyson V16 Piston Animal,3,,,http://api.rocketniks.ru/api/products/dyson-v16-piston-animal
DYS-HT01-BLU-COPPER-HK,Dyson HT01 Blue Copper (HK),48,Dyson Airstrait HT01 никель/медный,3,,,http://api.rocketniks.ru/api/products/dyson-airstrait-ht01-nikelmednyy
DYS-HT01-KANZAN-PNK-CASE-HK,Dyson HT01 Kanzan Pink (Case) (HK),12,Dyson V16 Piston Animal,3,,,http://api.rocketniks.ru/api/products/dyson-v16-piston-animal
DYS-HS08-AMB-SLK-HK,Dyson HS08 Amber Silk (HK),24,Dyson Airwrap i.d. Long HS08 Straight+Wavy  яшмовая слива,2,,,http://api.rocketniks.ru/api/products/dyson-airwrap-i-d--long-hs08-straightwavy-yashmovaya-sliva
DYS-HS08-APRICOT-TOPAZ-KR,Dyson HS08 Apricot topaz (KR),48,Dyson Airwrap i.d. Long HS08 Straight+Wavy  синие румяна/топаз,2,,,http://api.rocketniks.ru/api/products/dyson-airwrap-i-d--long-hs08-straightwavy-sinie-rumyanatopaz
DYS-HS08-CER-APRICOT-GB,Dyson HS08 Ceramic Apricot (GB),33,Dyson Airwrap i.d. Long HS08 Straight+Wavy  яшмовая слива,2,,,http://api.rocketniks.ru/api/products/dyson-airwrap-i-d--long-hs08-straightwavy-yashmovaya-sliva
DYS-HS08-CER-PATINA-TOPAZ-IN,Dyson HS08 Ceramic Patina Topaz (IN),39,Dyson Airwrap i.d. Long HS08 Straight+Wavy  синие румяна/топаз,2,,,http://api.rocketniks.ru/api/products/dyson-airwrap-i-d--long-hs08-straightwavy-sinie-rumyanatopaz
DYS-HS08-RED-VEL-HK,Dyson HS08 Red/Velvet (HK),24,Dyson Airwrap i.d. Long HS08 Straight+Wavy  яшмовая слива,2,,,http://api.rocketniks.ru/api/products/dyson-airwrap-i-d--long-hs08-straightwavy-yashmovaya-sliva
DYS-HS08-VINCA-BLU-TOPAZ-HK,Dyson HS08 Vinca Blue Topaz (HK),48,Dyson Airwrap i.d. Long HS08 Straight+Wavy  синие румяна/топаз,2,,,http://api.rocketniks.ru/api/products/dyson-airwrap-i-d--long-hs08-straightwavy-sinie-rumyanatopaz
DYS-HS08-VINCA-BLU-TOPAZ-ORG-DIFFUSE-HK,Dyson HS08 Vinca Blue/Topaz Orange (diffuse) (HK),39,Dyson Airwrap i.d. Long HS08 Straight+Wavy  синие румяна/топаз,2,,,http://api.rocketniks.ru/api/products/dyson-airwrap-i-d--long-hs08-straightwavy-sinie-rumyanatopaz
DYS-HD16-AMB-SLK-CASE-HK,Dyson HD16 Amber Silk (Case) (HK),24,Dyson Supersonic Nural HD16 яшмовая слива,3,,,http://api.rocketniks.ru/api/products/dyson-supersonic-nural-hd16-yashmovaya-sliva
DYS-HD16-APRICOT-TOPAZ-CASE-KR,Dyson HD16 Apricot Topaz (Case) (KR),48,Dyson Supersonic Nural HD16 синий/топаз,3,,,http://api.rocketniks.ru/api/products/dyson-supersonic-nural-hd16-siniytopaz
DYS-HD17-JAS-PLM-EU,Dyson HD17 Jasper Plum (EU),12,Dyson V16 Piston Animal,3,,,http://api.rocketniks.ru/api/products/dyson-v16-piston-animal
DYS-HD19-CER-PNK-HK,Dyson HD19 Ceramic Pink (HK),12,Dyson V16 Piston Animal,3,,,http://api.rocketniks.ru/api/products/dyson-v16-piston-animal
