sku,title,status
APL-APD-4-2024,Apple AirPods 4 (2024),rejected
MC6U4-US-IN,Apple MacBook Air 13 Sky Blue (M4 16GB 512GB) (US-IN),rejected
MC7C4,"Apple MacBook Air 15 Sky Blue (M4 16GB, 512GB) (US)",rejected
MJLW4,"Apple MacBook Pro 14 Black M5 Pro 15/16 24GB, 2TB (US)",rejected
MDE04,Apple MacBook Pro 14 M5 16/512 (2025) Black (US-IN),rejected
APL-IP17-256-SAGE-IN,"Apple iPhone 17 256 ГБ Sage (IN, SIM+eSIM)",rejected
APL-IP17-512-SAGE-IN,"Apple iPhone 17 512 ГБ Sage (IN, SIM+eSIM)",rejected
APL-IPAIR-512-BLU-JP,"Apple iPhone Air 512 ГБ Bluе (JP, eSIM)",rejected
DYS-HUSHJET-PURFIER-COMPACT-SP01-WHT-SLV-GB,Dyson HushJet Purfier Compact SP01 White Silver (GB),rejected
DYS-V12-SV46-SUBMARINE-YELLOW-NICKEL-EU,Dyson V12 SV46 Submarine Yellow Nickel (EU),rejected
DYS-V15-SV47-DETECT-SUBMARINE-YELLOW-NICKEL-EU,Dyson V15 SV47 Detect Submarine Yellow Nickel (EU),rejected
DYS-V15-SV47-DETECT-SUBMARINE-YELLOW-NICKEL-GB,Dyson V15 SV47 Detect Submarine Yellow/Nickel (GB),rejected
