sku,title_raw,brand,color,category,source_url
APL-APD-4-2024,"Apple Macbook Pro 14.2"" M4 2024 Американская раскладка M4 Pro 14core 24GB 1024GB серебристый",Apple,серебристый,Ноутбуки,http://api.rocketniks.ru/api/products/apple-macbook-pro-14-2-m4-pro-14-yader-serebristyy-24-1024
APL-APD-MAX-2024-ORG,Apple AirPods Max (с разъёмом USB Type-C)  оранжевый,Apple,оранжевый,Наушники,http://api.rocketniks.ru/api/products/apple-airpods-max-s-razmom-usb-type-c-oranzhevyy
APL-APD-MAX-2026-BLU,Apple AirPods Max (с разъёмом USB Type-C)  синий,Apple,синий,Наушники,http://api.rocketniks.ru/api/products/apple-airpods-max-s-razmom-usb-type-c-siniy
APL-APD-MAX-2026-MID,Apple AirPods Max (с разъёмом USB Type-C)  полуночный,Apple,полуночный,Наушники,http://api.rocketniks.ru/api/products/apple-airpods-max-s-razmom-usb-type-c-polunochnyy
APL-APD-MAX-2026-ORG,Apple AirPods Max (с разъёмом USB Type-C)  оранжевый,Apple,оранжевый,Наушники,http://api.rocketniks.ru/api/products/apple-airpods-max-s-razmom-usb-type-c-oranzhevyy
APL-APD-MAX-2026-PURPLE,Apple AirPods Max (с разъёмом USB Type-C)  фиолетовый,Apple,фиолетовый,Наушники,http://api.rocketniks.ru/api/products/apple-airpods-max-s-razmom-usb-type-c-fioletovyy
APL-APD-MAX-2026-STL,Apple AirPods Max (с разъёмом USB Type-C)  звездный свет,Apple,звездный свет,Наушники,http://api.rocketniks.ru/api/products/apple-airpods-max-s-razmom-usb-type-c-zvezdnyy-svet
APL-APD-MAX-BLU-LIGHT,Apple AirPods Max (с разъёмом USB Type-C)  синий,Apple,синий,Наушники,http://api.rocketniks.ru/api/products/apple-airpods-max-s-razmom-usb-type-c-siniy
MW133,"Apple MacBook Air 13"" M4 (2025) Русская раскладка 16GB 512GB полуночный",Apple,полуночный,Ноутбуки,http://api.rocketniks.ru/api/products/apple-macbook-air-13-m4-2025-16-512-polunochnyy
MC6C4,"Apple MacBook Air 13"" M4 (2025) Русская раскладка 24GB 512GB полуночный",Apple,полуночный,Ноутбуки,http://api.rocketniks.ru/api/products/apple-macbook-air-13-m4-2025-24-512-polunochnyy
MW0X3,"Apple MacBook Air 13"" M4 (2025) Русская раскладка 16GB 512GB серебристый",Apple,серебристый,Ноутбуки,http://api.rocketniks.ru/api/products/apple-macbook-air-13-m4-2025-16-512-serebristyy
MC6U4,"Apple MacBook Air 13"" M4 (2025) Русская раскладка 16GB 512GB небесно-голубой",Apple,небесно-голубой,Ноутбуки,http://api.rocketniks.ru/api/products/apple-macbook-air-13-m4-2025-16-512-nebesno-goluboy
MC6U4-US-IN,"Apple MacBook Air 13"" M4 (2025) Русская раскладка 16GB 512GB полуночный",Apple,полуночный,Ноутбуки,http://api.rocketniks.ru/api/products/apple-macbook-air-13-m4-2025-16-512-polunochnyy
MC6V4,"Apple MacBook Air 13"" M4 (2025) Русская раскладка 24GB 512GB небесно-голубой",Apple,небесно-голубой,Ноутбуки,http://api.rocketniks.ru/api/products/apple-macbook-air-13-m4-2025-24-512-nebesno-goluboy
MW103,"Apple MacBook Air 13"" M4 (2025) Русская раскладка 16GB 512GB сияющая звезда",Apple,сияющая звезда,Ноутбуки,http://api.rocketniks.ru/api/products/apple-macbook-air-13-m4-2025-16-512-siyayuschaya-zvezda
MW1L3,"Apple MacBook Air 15"" M4 (2025) Русская раскладка 16GB 256GB полуночный",Apple,полуночный,Ноутбуки,http://api.rocketniks.ru/api/products/apple-macbook-air-15-m4-2025-16-256-polunochnyy
MDVK4,"Apple MacBook Air 15"" M5 2026 Русская раскладка 1024GB 16GB полуночный",Apple,полуночный,Ноутбуки,http://api.rocketniks.ru/api/products/apple-macbook-air-15-m5-2026-russkaya-raskladka-1024-16-polunochnyy
MDVH4,"Apple MacBook Air 15"" M5 2026 Русская раскладка 512GB 16GB полуночный",Apple,полуночный,Ноутбуки,http://api.rocketniks.ru/api/products/apple-macbook-air-15-m5-2026-russkaya-raskladka-512-16-polunochnyy
MDVA4,"Apple MacBook Air 15"" M5 2026 Русская раскладка 1024GB 16GB серебристый",Apple,серебристый,Ноутбуки,http://api.rocketniks.ru/api/products/apple-macbook-air-15-m5-2026-russkaya-raskladka-1024-16-serebristyy
MDV94,"Apple MacBook Air 15"" M5 2026 Русская раскладка 512GB 16GB серебристый",Apple,серебристый,Ноутбуки,http://api.rocketniks.ru/api/products/apple-macbook-air-15-m5-2026-russkaya-raskladka-512-16-serebristyy
MC7C4,"Apple MacBook Air 15"" M4 (2025) Русская раскладка 16GB 512GB серебристый",Apple,серебристый,Ноутбуки,http://api.rocketniks.ru/api/products/apple-macbook-air-15-m4-2025-16-512-serebristyy
MDVT4,"Apple MacBook Air 15"" M5 2026 Русская раскладка 1024GB 16GB небесно-голубой",Apple,небесно-голубой,Ноутбуки,http://api.rocketniks.ru/api/products/apple-macbook-air-15-m5-2026-russkaya-raskladka-1024-16-nebesno-goluboy
MDVQ4,"Apple MacBook Air 15"" M5 2026 Русская раскладка 512GB 16GB небесно-голубой",Apple,небесно-голубой,Ноутбуки,http://api.rocketniks.ru/api/products/apple-macbook-air-15-m5-2026-russkaya-raskladka-512-16-nebesno-goluboy
MW1J3,"Apple MacBook Air 15"" M4 (2025) Русская раскладка 16GB 256GB сияющая звезда",Apple,сияющая звезда,Ноутбуки,http://api.rocketniks.ru/api/products/apple-macbook-air-15-m4-2025-16-256-siyayuschaya-zvezda
MW1K3,"Apple MacBook Air 15"" M4 (2025) Русская раскладка 16GB 512GB сияющая звезда",Apple,сияющая звезда,Ноутбуки,http://api.rocketniks.ru/api/products/apple-macbook-air-15-m4-2025-16-512-siyayuschaya-zvezda
MDVE4,"Apple MacBook Air 15"" M5 2026 Русская раскладка 1024GB 16GB сияющая звезда",Apple,сияющая звезда,Ноутбуки,http://api.rocketniks.ru/api/products/apple-macbook-air-15-m5-2026-russkaya-raskladka-1024-16-siyayushchaya-zvezda
MDVD4,"Apple MacBook Air 15"" M5 2026 Русская раскладка 512GB 16GB сияющая звезда",Apple,сияющая звезда,Ноутбуки,http://api.rocketniks.ru/api/products/apple-macbook-air-15-m5-2026-russkaya-raskladka-512-16-siyayushchaya-zvezda
MJLW4,"Apple Macbook Pro 14.2"" M4 2024 Американская раскладка M4 Pro 14core 24GB 1024GB серебристый",Apple,серебристый,Ноутбуки,http://api.rocketniks.ru/api/products/apple-macbook-pro-14-2-m4-pro-14-yader-serebristyy-24-1024
MDE04,"Apple Macbook Pro 14.2"" M5 2025 16GB 512GB глянцевый космический черный",Apple,космический черный,Ноутбуки,http://api.rocketniks.ru/api/products/apple-macbook-pro-14-2-m5-2025-16-512-kosmicheskiy-chernyy-glyancevyy
