sku,title,brand,category,subcategory,price,stock,condition,color,memory,storage,screen_size,cpu,description,specs,tags,is_new,is_active,image_1
APL-HOMEPOD-1G-GRY-RFB-US,"Apple HomePod (1 поколение) Space Gray (RFB, US)",Apple,аудио,HomePod,19000,1,refurbished,Space Gray,,,,,"Умная колонка Apple HomePod первого поколения. Восстановленная Apple (Refurbished) единица — проходит заводскую проверку и комплектуется как новая. Артикул 4QHW2LL/A, американская версия.","{""Артикул поставщика"": ""4QHW2LL/A"", ""Регион"": ""США"", ""Тип"": ""Умная колонка""}","[""HomePod"", ""RFB"", ""аудио""]",true,true,https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/homepod-select-midnight-202210?wid=1200&hei=1200&fmt=jpeg&qlt=90
APL-HOMEPOD-1G-WHT-RFB-US,"Apple HomePod (1 поколение) White (RFB, US)",Apple,аудио,HomePod,17000,1,refurbished,White,,,,,"Умная колонка Apple HomePod первого поколения в белом корпусе. Восстановленная Apple (Refurbished). Артикул 4QHV2LL/A, американская версия.","{""Артикул поставщика"": ""4QHV2LL/A"", ""Регион"": ""США"", ""Тип"": ""Умная колонка""}","[""HomePod"", ""RFB"", ""аудио""]",true,true,https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/homepod-select-white-202210?wid=1200&hei=1200&fmt=jpeg&qlt=90
APL-PWR-ADAPTER-20W-USBC,Apple Power Adapter 20W USB-C (оригинал),Apple,аксессуары,Зарядные устройства,1700,5,new,,,,,,"Оригинальный сетевой адаптер Apple на 20 Вт с разъёмом USB-C. Быстрая зарядка для iPhone, iPad, AirPods и Apple Watch.","{""Мощность"": ""20 Вт"", ""Разъём"": ""USB-C""}","[""зарядка"", ""USB-C""]",true,true,https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/MHJA3?wid=1200&hei=1200&fmt=jpeg&qlt=90
APL-AW-S11-46-SLATE-TI-MILAN-ML,Apple Watch Series 11 46mm Slate Titanium / Slate Milanese Loop M/L,Apple,часы,Apple Watch,65000,1,new,Slate Titanium,,,46 мм,,"Apple Watch Series 11 в титановом корпусе Slate 46 мм с миланской петлёй того же оттенка, размер M/L. Титан прочнее алюминия и заметно устойчивее к царапинам.","{""Корпус"": ""Титан"", ""Размер корпуса"": ""46 мм"", ""Ремешок"": ""Slate Milanese Loop M/L""}","[""Apple Watch"", ""Series 11"", ""титан""]",true,true,https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/MGJ64ref_VW_34FR+watch-case-46-titanium-slate-cell-s11_VW_34FR+watch-face-46-titanium-slate-s11_VW_34FR_GEO_US?wid=1200&hei=1200&fmt=jpeg&qlt=90
APL-AW-S11-46-SLATE-TI-MILAN-SM,Apple Watch Series 11 46mm Slate Titanium / Slate Milanese Loop S/M,Apple,часы,Apple Watch,70000,1,new,Slate Titanium,,,46 мм,,"Apple Watch Series 11 в титановом корпусе Slate 46 мм с миланской петлёй того же оттенка, размер S/M — под более тонкое запястье.","{""Корпус"": ""Титан"", ""Размер корпуса"": ""46 мм"", ""Ремешок"": ""Slate Milanese Loop S/M""}","[""Apple Watch"", ""Series 11"", ""титан""]",true,true,https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/MGJ64ref_VW_34FR+watch-case-46-titanium-slate-cell-s11_VW_34FR+watch-face-46-titanium-slate-s11_VW_34FR_GEO_US?wid=1200&hei=1200&fmt=jpeg&qlt=90
APL-AW-S11-46-NAT-TI-MILAN-ML,Apple Watch Series 11 46mm Natural Titanium / Natural Milanese Loop M/L,Apple,часы,Apple Watch,65000,1,new,Natural Titanium,,,46 мм,,"Apple Watch Series 11 в титановом корпусе Natural 46 мм с миланской петлёй натурального оттенка, размер M/L.","{""Корпус"": ""Титан"", ""Размер корпуса"": ""46 мм"", ""Ремешок"": ""Natural Milanese Loop M/L""}","[""Apple Watch"", ""Series 11"", ""титан""]",true,true,https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/MGJ24ref_VW_34FR+watch-case-46-titanium-natural-cell-s11_VW_34FR+watch-face-46-titanium-natural-s11_VW_34FR_GEO_US?wid=1200&hei=1200&fmt=jpeg&qlt=90
APL-AW-S11-42-SLATE-TI-LINK,Apple Watch Series 11 42mm Slate Titanium / Slate Link Bracelet,Apple,часы,Apple Watch,103000,1,new,Slate Titanium,,,42 мм,,Apple Watch Series 11 42 мм: титановый корпус Slate и титановый блочный браслет Link Bracelet — самая представительная комплектация серии.,"{""Корпус"": ""Титан"", ""Размер корпуса"": ""42 мм"", ""Ремешок"": ""Slate Link Bracelet""}","[""Apple Watch"", ""Series 11"", ""титан""]",true,true,https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/MXMD3_FV99_VW_34FR+watch-case-42-titanium-slate-cell-s11_VW_34FR+watch-face-42-titanium-slate-s11_VW_34FR_GEO_US?wid=1200&hei=1200&fmt=jpeg&qlt=90
APL-AW-S11-42-NAT-TI-LINK,Apple Watch Series 11 42mm Natural Titanium / Natural Link Bracelet,Apple,часы,Apple Watch,103000,1,new,Natural Titanium,,,42 мм,,Apple Watch Series 11 42 мм: титановый корпус Natural и титановый блочный браслет Link Bracelet.,"{""Корпус"": ""Титан"", ""Размер корпуса"": ""42 мм"", ""Ремешок"": ""Natural Link Bracelet""}","[""Apple Watch"", ""Series 11"", ""титан""]",true,true,https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/MXMA3_FV99_VW_34FR+watch-case-42-titanium-natural-cell-s11_VW_34FR+watch-face-42-titanium-natural-s11_VW_34FR_GEO_US?wid=1200&hei=1200&fmt=jpeg&qlt=90
APL-AW-S11-46-SLATE-TI-LINK,Apple Watch Series 11 46mm Slate Titanium / Slate Link Bracelet,Apple,часы,Apple Watch,103000,1,new,Slate Titanium,,,46 мм,,Apple Watch Series 11 46 мм: титановый корпус Slate и титановый блочный браслет Link Bracelet.,"{""Корпус"": ""Титан"", ""Размер корпуса"": ""46 мм"", ""Ремешок"": ""Slate Link Bracelet""}","[""Apple Watch"", ""Series 11"", ""титан""]",true,true,https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/MXMK3_FV99_VW_34FR+watch-case-46-titanium-slate-cell-s11_VW_34FR+watch-face-46-titanium-slate-s11_VW_34FR_GEO_US?wid=1200&hei=1200&fmt=jpeg&qlt=90
APL-AW-S11-46-NAT-TI-LINK,Apple Watch Series 11 46mm Natural Titanium / Natural Link Bracelet,Apple,часы,Apple Watch,103000,1,new,Natural Titanium,,,46 мм,,Apple Watch Series 11 46 мм: титановый корпус Natural и титановый блочный браслет Link Bracelet.,"{""Корпус"": ""Титан"", ""Размер корпуса"": ""46 мм"", ""Ремешок"": ""Natural Link Bracelet""}","[""Apple Watch"", ""Series 11"", ""титан""]",true,true,https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/MXMF3_FV99_VW_34FR+watch-case-46-titanium-natural-cell-s11_VW_34FR+watch-face-46-titanium-natural-s11_VW_34FR_GEO_US?wid=1200&hei=1200&fmt=jpeg&qlt=90
