sku,title,brand,category,subcategory,price,stock,condition,color,description,is_new,is_active,image_1
MK2A3-RU,,,,,,,,,,,,https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/MK2A3?wid=1200&hei=1200&fmt=jpeg&qlt=90
MK2A3RS/A-RU,,,,,,,,,,,,https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/MK2A3?wid=1200&hei=1200&fmt=jpeg&qlt=90
MQ052-RU,,,,,,,,,,,,https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/MQ052?wid=1200&hei=1200&fmt=jpeg&qlt=90
MK293RS/A-RU,,,,,,,,,,,,https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/MK293?wid=1200&hei=1200&fmt=jpeg&qlt=90
MX5N3-RU,,,,,,,,,,,,https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/MX5N3?wid=1200&hei=1200&fmt=jpeg&qlt=90
MX5M3-RU,,,,,,,,,,,,https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/MX5M3?wid=1200&hei=1200&fmt=jpeg&qlt=90
MU9D3-US,,,,,,,,,,,,"https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/mac-mini-chip-unselect-202608-gallery-1?cropN=0.17958,0,0.64083,1&wid=1200&fmt=jpeg&qlt=90"
MU9E3-US,,,,,,,,,,,,"https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/mac-mini-chip-unselect-202608-gallery-1?cropN=0.17958,0,0.64083,1&wid=1200&fmt=jpeg&qlt=90"
MCYT4-US,,,,,,,,,,,,"https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/mac-mini-chip-unselect-202608-gallery-1?cropN=0.17958,0,0.64083,1&wid=1200&fmt=jpeg&qlt=90"
MCX44-USUS,,,,,,,,,,,,"https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/mac-mini-chip-unselect-202608-gallery-1?cropN=0.17958,0,0.64083,1&wid=1200&fmt=jpeg&qlt=90"
MAC-MINI-M4-PRO-14-20-48GB-1TB-10GBE-NA,,,,,,,,,,,,"https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/mac-mini-chip-unselect-202608-gallery-1?cropN=0.17958,0,0.64083,1&wid=1200&fmt=jpeg&qlt=90"
IP-17-256-BLUE-IN-SIM-ACT,,,,,,,,,,,,"https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/iphone-17-finish-select-202509-mistblue?cropN=0.21875,0,0.5625,1&wid=1200&fmt=jpeg&qlt=90"
IP-17-512-BLUE-IN-SIM-ACT,,,,,,,,,,,,"https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/iphone-17-finish-select-202509-mistblue?cropN=0.21875,0,0.5625,1&wid=1200&fmt=jpeg&qlt=90"
IP-17-512-BLACK-US-ESIM,,,,,,,,,,,,"https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/iphone-17-finish-select-202509-black?cropN=0.21875,0,0.5625,1&wid=1200&fmt=jpeg&qlt=90"
IP-17-512-LAVENDER-US-ESIM,,,,,,,,,,,,"https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/iphone-17-finish-select-202509-lavender?cropN=0.21875,0,0.5625,1&wid=1200&fmt=jpeg&qlt=90"
IP-17PRO-256-BLUE-US-ESIM-ACT,,,,,,,,,,,,"https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/iphone-17-pro-finish-select-202509-6-3inch-deepblue?cropN=0.21875,0,0.5625,1&wid=1200&fmt=jpeg&qlt=90"
