sku,title,brand,category
APL-APD-4-2024-2,Apple AirPods 4 (2024) с шумуоподавлением,Apple,наушники
APL-APD-MAX-2024-ORG,Apple AirPods Max 2024 Orange,Apple,наушники
APL-APD-MAX-2026-BLU,Apple AirPods Max 2026 Blue (US),Apple,наушники
APL-APD-MAX-2026-MID,Apple AirPods Max 2026 Midnight (US),Apple,наушники
APL-APD-MAX-2026-ORG,Apple AirPods Max 2026 Orange (US),Apple,наушники
APL-APD-MAX-2026-PURPLE,Apple AirPods Max 2026 Purple (US),Apple,наушники
APL-APD-MAX-2026-STL,Apple AirPods Max 2026 Starlight (US),Apple,наушники
APL-APD-MAX-BLU-LIGHT,Apple AirPods Max Blue Light,Apple,наушники
MW133,Apple MacBook Air 13 Midnight (M4 16GB 512GB) (US-IN),Apple,ноутбуки
MC6C4,Apple MacBook Air 13 Midnight (M4 24GB 512GB) (US-IN),Apple,ноутбуки
MW0X3,Apple MacBook Air 13 Silver (M4 16GB 512GB) (US-IN),Apple,ноутбуки
MC6U4,Apple MacBook Air 13 Sky Blue (M4 16/10/10/512GB) (US-IN),Apple,ноутбуки
MC6U4-US-IN,Apple MacBook Air 13 Sky Blue (M4 16GB 512GB) (US-IN),Apple,ноутбуки
MC6V4,Apple MacBook Air 13 Sky Blue (M4 24GB 512G ) (US-IN),Apple,ноутбуки
MW103,Apple MacBook Air 13 Starlight (M4 16GB 512GB) (US-IN),Apple,ноутбуки
MW1L3,Apple MacBook Air 15 Midnight (M4 16/256),Apple,ноутбуки
MDVK4,"Apple MacBook Air 15 Midnight (M5, 16GB, 1TB) (US)",Apple,ноутбуки
MDVH4,"Apple MacBook Air 15 Midnight (M5, 16GB, 512GB) (US)",Apple,ноутбуки
MDVA4,"Apple MacBook Air 15 Silver (M5, 16GB, 1TB) (US)",Apple,ноутбуки
MDV94,"Apple MacBook Air 15 Silver (M5, 16GB, 512GB) (US)",Apple,ноутбуки
MC7C4,"Apple MacBook Air 15 Sky Blue (M4 16GB, 512GB) (US)",Apple,ноутбуки
MDVT4,"Apple MacBook Air 15 Sky Blue (M5, 16GB, 1TB) (US)",Apple,ноутбуки
MDVQ4,"Apple MacBook Air 15 Sky Blue (M5, 16GB, 512GB) (US)",Apple,ноутбуки
MW1J3,"Apple MacBook Air 15 Starlight (M4 16GB, 256GB) (US)",Apple,ноутбуки
MW1K3,"Apple MacBook Air 15 Starlight (M4 16GB, 512GB) (US)",Apple,ноутбуки
MDVE4,"Apple MacBook Air 15 Starlight (M5, 16GB, 1TB) (US)",Apple,ноутбуки
MDVD4,"Apple MacBook Air 15 Starlight (M5, 16GB, 512GB) (US)",Apple,ноутбуки
MJLW4,"Apple MacBook Pro 14 Black M5 Pro 15/16 24GB, 2TB (US)",Apple,ноутбуки
MDE04,Apple MacBook Pro 14 M5 16/512 (2025) Black (US-IN),Apple,ноутбуки
MDE44,Apple MacBook Pro 14 M5 16/512 (2025) Silver (US-IN),Apple,ноутбуки
MGDQ4,Apple MacBook Pro 14 M5 Max 18/32 36GB 2TB Silver (IN),Apple,ноутбуки
MGDU4,Apple MacBook Pro 14 M5 Max 18/32 36GB 2TB Space Black (US-IN),Apple,ноутбуки
MGDN4,Apple MacBook Pro 14 M5 Pro 15/16 24GB 1TB Silver (US),Apple,ноутбуки
MGDR4,Apple MacBook Pro 14 M5 Pro 15/16 24GB 1TB Space Black (US-IN),Apple,ноутбуки
MGDP4,Apple MacBook Pro 14 M5 Pro 18/20 24GB 2TB Silver (US-IN),Apple,ноутбуки
MGDT4,Apple MacBook Pro 14 M5 Pro 18/20 24GB 2TB Space Black (US-IN),Apple,ноутбуки
MJLV4,"Apple MacBook Pro 14 Silver M5 Pro 15/16 24GB, 2TB (US)",Apple,ноутбуки
MJ3D4,"Apple MacBook Pro 14 Space Black (M5, 32GB, 1TB) (US-IN)",Apple,ноутбуки
MDE54,Apple MacBook Pro 14 М5 10/10 16/1TB Silver (US-IN),Apple,ноутбуки
MDE14,Apple MacBook Pro 14 М5 10/10 16/1TB Space Black (US-IN),Apple,ноутбуки
MDE64,Apple MacBook Pro 14 М5 10/10 24/1TB Silver (US-IN),Apple,ноутбуки
MDE34,Apple MacBook Pro 14 М5 10/10 24/1TB Space Black (US-IN),Apple,ноутбуки
APL-IP17-256-SAGE-IN,"Apple iPhone 17 256 ГБ Sage (IN, SIM+eSIM)",Apple,смартфоны
APL-IP17-512-SAGE-IN,"Apple iPhone 17 512 ГБ Sage (IN, SIM+eSIM)",Apple,смартфоны
APL-IPAIR-512-BLU-JP,"Apple iPhone Air 512 ГБ Bluе (JP, eSIM)",Apple,смартфоны
APL-APL-AW-SE-40-MID-2025-S-M,Apple Watch SE 40 Midnight (2025) S/M (US),Apple,часы
APL-APL-AW-SE-44-STL-2025-S-M,Apple Watch SE 44 Starlight (2025) S/M (US),Apple,часы
APL-APL-AW-SERIES-11-46MM-ROSE-GLD-SB-S-M,Apple Watch Series 11 46mm Rose Gold SB S/M,Apple,часы
DYS-HUSHJET-PURFIER-COMPACT-SP01-WHT-SLV-GB,Dyson HushJet Purfier Compact SP01 White Silver (GB),Dyson,бытовая техника
DYS-CLEAN-WASH-HYGIENE-WR03-A-KR,Dyson Clean+Wash Hygiene WR03-A (KR),Dyson,бытовая техника
DYS-V12-DETECT-SLIM-ABSOLUTE-SV46-YELL-NICK-GB,Dyson V12 Detect Slim Absolute SV46 (Yell/Nick) (GB),Dyson,бытовая техника
DYS-V12-SV46-SUBMARINE-YELLOW-NICKEL-EU,Dyson V12 SV46 Submarine Yellow Nickel (EU),Dyson,бытовая техника
DYS-V15-SV47-DETECT-SUBMARINE-YELLOW-NICKEL-EU,Dyson V15 SV47 Detect Submarine Yellow Nickel (EU),Dyson,бытовая техника
DYS-V15-SV47-DETECT-SUBMARINE-YELLOW-NICKEL-GB,Dyson V15 SV47 Detect Submarine Yellow/Nickel (GB),Dyson,бытовая техника
DYS-V16-PISTON-ANIMAL-SV53-MATBLK-COPP-EU,Dyson V16 Piston Animal SV53 (MatBlack/Copp) (EU),Dyson,бытовая техника
DYS-V16S-PISTON-ANIMAL-SV53A-MATBLK-COPP-KR,Dyson V16S Piston Animal SV53A (MatBlack/Copp) + подставка (KR),Dyson,бытовая техника
DYS-HT01-APRICOT-TOPAZ-CASE-HK,Dyson HT01 Apricot Topaz (Case) (HK),Dyson,красота
DYS-HT01-BLU-COPPER-HK,Dyson HT01 Blue Copper (HK),Dyson,красота
DYS-HT01-KANZAN-PNK-CASE-HK,Dyson HT01 Kanzan Pink (Case) (HK),Dyson,красота
DYS-HS05-NICKEL-COPPER-HK,Dyson HS05 Nickel Copper (HK),Dyson,красота
DYS-HS08-AMB-SLK-HK,Dyson HS08 Amber Silk (HK),Dyson,красота
DYS-HS08-APRICOT-TOPAZ-KR,Dyson HS08 Apricot topaz (KR),Dyson,красота
DYS-HS08-CER-APRICOT-GB,Dyson HS08 Ceramic Apricot (GB),Dyson,красота
DYS-HS08-CER-PATINA-TOPAZ-IN,Dyson HS08 Ceramic Patina Topaz (IN),Dyson,красота
DYS-HS08-CER-PNK-HK,Dyson HS08 Ceramic Pink (HK),Dyson,красота
DYS-HS08-CER-PNK-DIFFUSE-HK,Dyson HS08 Ceramic Pink (diffuse) (HK),Dyson,красота
DYS-HS08-KANZAN-PNK-HK,Dyson HS08 Kanzan Pink (HK),Dyson,красота
DYS-HS08-RED-VEL-HK,Dyson HS08 Red/Velvet (HK),Dyson,красота
DYS-HS08-VINCA-BLU-TOPAZ-HK,Dyson HS08 Vinca Blue Topaz (HK),Dyson,красота
DYS-HS08-VINCA-BLU-TOPAZ-ORG-DIFFUSE-HK,Dyson HS08 Vinca Blue/Topaz Orange (diffuse) (HK),Dyson,красота
